Time Period Begins,Net Sales,Trans Count,Estimated Labor Cost,Labor Hours,Labor Cost % Net Sales,Net Sales / Labor Hour,Trans/ Labor Hour
04:00 AM,0.0,0,0.0,0.0,0.0,0.0,0
04:15 AM,0.0,0,0.0,0.0,0.0,0.0,0
04:30 AM,0.0,0,0.0,0.0,0.0,0.0,0
04:45 AM,0.0,0,0.0,0.0,0.0,0.0,0
05:00 AM,0.0,0,5.12,0.5,0.0,0.0,0
05:15 AM,2.69,1,5.12,0.5,190.51,5.38,2
05:30 AM,25.84,2,5.12,0.5,19.83,51.68,4
05:45 AM,7.54,2,5.12,0.5,67.97,15.08,4
06:00 AM,5.68,3,5.12,0.5,90.23,11.36,6
06:15 AM,10.05,2,5.12,0.5,50.99,20.1,4
06:30 AM,13.06,2,5.12,0.5,39.24,26.12,4
06:45 AM,10.49,1,5.12,0.5,48.85,20.98,2
07:00 AM,66.14,2,5.12,0.5,7.75,132.28,4
07:15 AM,39.71,3,5.12,0.5,12.91,79.42,6
07:30 AM,37.18,5,5.12,0.5,13.78,74.36,10
07:45 AM,54.6,8,5.12,0.5,9.39,109.2,16
08:00 AM,65.85,12,7.12,0.75,10.82,87.8,16
08:15 AM,150.5,15,7.12,0.75,4.73,200.67,20
08:30 AM,43.09,8,9.37,1.0,21.76,43.09,8
08:45 AM,157.94,15,9.37,1.0,5.94,157.94,15
09:00 AM,68.81,8,9.37,1.0,13.62,68.81,8
09:15 AM,118.88,14,9.37,1.0,7.89,118.88,14
09:30 AM,128.42,13,9.37,1.0,7.3,128.42,13
09:45 AM,66.75,8,9.37,1.0,14.04,66.75,8
10:00 AM,138.24,14,9.37,1.0,6.78,138.24,14
10:15 AM,50.34,9,9.37,1.0,18.62,50.34,9
10:30 AM,93.58,13,9.37,1.0,10.02,93.58,13
10:45 AM,94.61,14,9.37,1.0,9.91,94.61,14
11:00 AM,78.8,11,9.37,1.0,11.9,78.8,11
11:15 AM,71.8,11,9.37,1.0,13.06,71.8,11
11:30 AM,98.02,12,9.37,1.0,9.56,98.02,12
11:45 AM,89.49,8,9.37,1.0,10.48,89.49,8
12:00 PM,37.62,5,7.12,0.75,18.94,50.16,7
12:15 PM,40.65,6,7.12,0.75,17.53,54.2,8
12:30 PM,8.17,3,7.12,0.75,87.21,10.89,4
12:45 PM,33.98,6,7.12,0.75,20.97,45.31,8
01:00 PM,59.18,10,7.12,0.75,12.04,78.91,13
01:15 PM,24.71,4,4.25,0.5,17.2,49.42,8
01:30 PM,32.17,9,4.25,0.5,13.21,64.34,18
01:45 PM,20.2,5,4.25,0.5,21.04,40.4,10
02:00 PM,9.86,3,4.25,0.5,43.1,19.72,6
02:15 PM,11.48,2,4.25,0.5,37.02,22.96,4
02:30 PM,7.48,2,4.25,0.5,56.82,14.96,4
02:45 PM,16.08,6,4.25,0.5,26.43,32.16,12
03:00 PM,34.06,7,4.25,0.5,12.48,68.12,14
03:15 PM,27.0,5,4.25,0.5,15.74,54.0,10
03:30 PM,35.49,7,4.25,0.5,11.98,70.98,14
03:45 PM,12.14,4,4.25,0.5,35.01,24.28,8
04:00 PM,36.91,6,4.75,0.5,12.87,73.82,12
04:15 PM,19.73,3,4.75,0.5,24.08,39.46,6
04:30 PM,15.23,4,4.75,0.5,31.19,30.46,8
04:45 PM,15.03,3,4.75,0.5,31.6,30.06,6
05:00 PM,28.3,6,4.75,0.5,16.78,56.6,12
05:15 PM,40.62,6,4.75,0.5,11.69,81.24,12
05:30 PM,4.27,1,4.75,0.5,111.24,8.54,2
05:45 PM,8.05,2,4.75,0.5,59.01,16.1,4
06:00 PM,5.88,1,4.75,0.5,80.78,11.76,2
06:15 PM,5.87,1,4.75,0.5,80.92,11.74,2
06:30 PM,0.0,0,4.75,0.5,0.0,0.0,0
06:45 PM,26.88,3,4.75,0.5,17.67,53.76,6
07:00 PM,0.0,0,4.75,0.5,0.0,0.0,0
07:15 PM,2.39,1,4.75,0.5,198.74,4.78,2
07:30 PM,0.0,0,4.75,0.5,0.0,0.0,0
07:45 PM,0.0,0,4.75,0.5,0.0,0.0,0
08:00 PM,0.0,0,0.0,0.0,0.0,0.0,0
08:15 PM,15.47,1,0.0,0.0,0.0,0.0,0
08:30 PM,0.0,0,0.0,0.0,0.0,0.0,0
08:45 PM,0.0,0,0.0,0.0,0.0,0.0,0
09:00 PM,0.0,0,0.0,0.0,0.0,0.0,0
09:15 PM,0.0,0,0.0,0.0,0.0,0.0,0
09:30 PM,0.0,0,0.0,0.0,0.0,0.0,0
09:45 PM,0.0,0,0.0,0.0,0.0,0.0,0
10:00 PM,0.0,0,0.0,0.0,0.0,0.0,0
